credit_card,date,nick
6767070068810962,1957-01-29,uniform
3548498763338869,1989-12-05,encryption
3543645213390123,1971-11-03,methodical
3561215017882886,1959-04-28,Secured
5100132760223155,1983-11-30,Reactive
3580918733853654,1966-12-05,hardware
3528454029303944,1989-08-30,archive
633428255874706569,1969-07-24,Decentralized
3582196566181349,1985-11-02,core
3574530973934876,1989-07-23,leverage
30359753139587,1993-08-09,strategy
3533096678405067,1971-10-08,data-warehouse
3560624442433861,1993-06-05,initiative
3563199622996570,1973-05-15,Advanced
3558531635208147,1966-12-11,moratorium
67093977910530829,1970-10-24,asynchronous
201505222468998,2000-11-23,Intuitive
5602235482264853,1979-12-31,scalable
633110006003602457,1998-06-10,intermediate
3566573457649289,1986-12-08,Fully-configurable
3557452368078386,1969-06-14,Stand-alone
30404216840221,1963-03-03,Synergistic
6304096292660080704,1976-05-02,Right-sized
67639139426699793,1996-03-07,strategy
4026816974587173,1969-04-03,Total
201904351909155,1993-01-13,info-mediaries
5100146321278730,1969-02-10,Business-focused
5038519472403322,1983-08-11,Networked
5108753857323632,1952-07-31,solution
5602221073279914,1993-10-08,Operative
5038679496476280,1960-06-03,Re-engineered
3573177452371559,1965-11-06,Decentralized
5382891481238805,1969-05-07,core
3556272755219760,1970-09-11,open architecture
5893804322358474178,1962-01-30,capability
6304455846177034,1996-06-03,Total
5602220251917324486,1964-08-23,Streamlined
3541160317388934,1959-11-29,forecast
3553400592063405,1972-07-13,Polarised
374622742157851,1954-07-03,complexity
3578724432307065,1988-03-31,productivity
63049751866899221,1997-06-02,monitoring
3561213914602093,1976-05-30,Intuitive
201752023390423,1968-07-17,Adaptive
0604213790564859,2000-02-28,Function-based
4911969841589928,1979-02-01,Down-sized
5108753645179700,1996-04-13,Polarised
6304857016571121730,1950-11-18,Diverse
30302539938682,1989-07-07,website
6333417840054147264,1957-08-16,Innovative
3576429535698350,1981-06-15,mission-critical
5394712609770147,1957-04-24,systematic
4784678879779731,1990-11-16,Customizable
201907710085088,1955-01-21,Profit-focused
3553841450966918,1962-03-10,leading edge
5602221114613741,1976-12-01,mobile
6763420178226908997,1957-08-04,dedicated
370350837561423,1966-07-25,Team-oriented
6382556590243644,1994-02-09,intranet
6304659434904113797,1984-05-28,discrete
201461016776958,1972-11-10,global
58939466766421405,1976-06-06,Decentralized
560224060123623271,1982-07-16,forecast
3572037849944917,1997-06-11,real-time
3568971923929749,1996-10-02,framework
3528106377639424,1972-10-06,static
6396243018951199,1968-03-16,directional
630402399031070604,1995-10-03,holistic
6759757784755816,1968-06-16,synergy
5108755548612885,1989-11-27,contingency
6379288328247052,1969-07-16,neutral
6381380876894991,1956-04-26,support
3583910908538092,1973-01-29,ability
6761335367492053822,1966-05-21,uniform
4041595147504684,1982-09-13,Decentralized
376300791500044,1954-07-08,actuating
5602250590037646,1951-08-19,actuating
5602239900964247151,1965-08-08,web-enabled
4905067121183806470,1950-01-12,Assimilated
67618275205651939,1964-04-17,impactful
30598702698496,1963-03-09,multimedia
4405803780477493,1969-05-12,zero administration
3577166555800289,1998-09-10,Persevering
4041599844268056,1970-02-05,bifurcated
3566394213273318,1984-07-22,6th generation
5018124205089256286,1964-04-18,contextually-based
3573138917570599,1974-04-29,conglomeration
6759385759397118663,1951-11-08,Object-based
3553267369723499,1987-04-01,definition
3555636373206071,1999-10-21,policy
4017953809571,1952-06-08,secondary
3536344044216959,1973-10-07,multi-state
3537053078114258,1979-04-01,analyzer
30040519717409,1952-07-07,coherent
3545569597033059,1953-10-06,analyzer
5018079760617466075,1963-12-01,24 hour
560222867295375411,1963-09-09,customer loyalty
3568473661123734,1979-03-11,system engine
4508219334298598,1961-11-23,open architecture
3585437740396875,1998-06-24,Customer-focused
3569001985823454,1993-09-20,5th generation
3576857929638832,1965-07-20,initiative
372301333946657,1962-07-11,client-driven
3558185094322574,1999-04-08,emulation
4844593469211615,1980-09-30,Vision-oriented
3554629025256660,1994-03-20,data-warehouse
5010125428494423,1963-07-30,modular
3557220773540054,1960-10-14,Graphic Interface
3530622642763712,1951-01-03,groupware
5018086239202524,1960-12-19,core
3551094563031756,1955-04-21,Synchronised
5108752107547271,1989-09-16,matrix
3540583905692238,1975-02-17,mobile
30567947401818,1988-03-03,Networked
63043273997118534,1959-08-08,Synergized
3533069625967174,1977-05-07,4th generation
347723201702395,1979-03-12,website
30067288531083,1987-10-01,Fundamental
4905458421472687,1951-04-12,Horizontal
5576835165208044,1987-04-29,bandwidth-monitored
30505607495043,1957-07-02,Reactive
3589293920486440,1981-11-29,next generation
201628061281049,1986-11-14,Pre-emptive
3578795899203658,2000-07-22,coherent
5602223594306283,1994-03-16,collaboration
3548734573580245,1988-08-26,Expanded
0604863663704363100,1951-02-13,dynamic
3543161610429092,1962-06-22,implementation
3529130784728553,2000-02-26,toolset
6382623774040038,1999-01-05,product
633331333925139670,1955-05-08,real-time
201929113571712,1978-01-05,implementation
4026244680134745,1992-12-27,orchestration
3532254818762191,1968-09-23,Synergistic
6393407885538040,1985-08-21,Persevering
3586351482848051,1956-11-09,matrices
3557869569078438,1966-11-17,analyzer
3548209025639659,1988-11-08,Digitized
4350007219703769,1975-03-01,demand-driven
5018217194354238,1955-09-10,service-desk
3542119473749742,1959-10-01,instruction set
3589079005372443,1955-08-20,uniform
201887151771455,1979-12-19,reciprocal
5020965568261738,1957-09-24,intermediate
3535862555080556,1971-08-12,workforce
6762080909627785,1994-07-23,Cross-platform
374288958901281,1952-07-02,instruction set
6761541917919523,1998-08-18,array
374288181484402,1973-07-02,User-centric
5602255526958399796,1988-08-07,projection
670963016370199284,1997-09-10,Seamless
5602218337198930,1971-07-05,Object-based
4844854415255506,1968-06-20,Customer-focused
3541480388255584,1981-01-25,Fully-configurable
3557185258654607,1955-04-04,internet solution
5018257803627830,1965-05-29,customer loyalty
630486242156370160,1963-11-15,focus group
36390999259016,1986-12-13,bottom-line
3546046434187215,1969-04-15,coherent
6385962766191285,1974-02-02,Grass-roots
3581306672060888,1977-02-03,eco-centric
3567786166190275,1961-12-02,multi-tasking
5602242639449135806,1962-02-12,workforce
677145429348273485,1952-01-22,incremental
4917832098454689,1986-10-31,Intuitive
3538832048829155,1972-04-08,directional
30173513425289,1954-11-15,capacity
4837596458423,1957-06-06,Right-sized
3563496713623257,1976-10-11,project
5048374461124424,1979-07-05,Customer-focused
4844990484761352,1981-02-14,multi-tasking
3541491999823850,1988-09-29,object-oriented
3546855709949939,1983-10-03,Integrated
060417228758612541,1973-12-19,process improvement
6391588272447671,1975-08-25,forecast
376693472873080,1997-07-16,Distributed
5020919071187302,2000-12-12,global
6399455559961877,1953-07-31,Re-engineered
3547254393720245,1973-09-24,methodical
3559117061410958,1977-09-09,Networked
5100148074138947,1980-10-25,Synergized
4508197542190247,1983-12-16,multimedia
6397595400428360,1952-03-19,intangible
63049213694424169,1991-05-11,user-facing
6333264453593045,1966-06-03,Synergized
5602218635735326,1977-10-09,ability
3551249225299957,1995-03-02,secondary
5602230144539982,1991-11-19,reciprocal
560223765501896254,1970-01-18,User-friendly
5893051398160418,1984-11-15,functionalities
4026519395036321,1986-06-20,Versatile
3532911307156264,1998-10-29,Optional
5610609416400413,1973-02-22,Horizontal
5602240125566821,1964-04-26,focus group
3583264018135500,1958-05-05,fault-tolerant
3531145168395569,1988-01-16,Reactive
3563226864153931,1962-01-20,Adaptive
6380999757699780,1973-08-07,moratorium
5048374888177591,1990-07-25,protocol
5532851245341153,1984-06-07,project
3575628710329811,1995-07-28,Upgradable
3547987365283706,1956-09-11,Automated
3577890476903712,1977-09-21,matrix
3557000012284767,1985-11-26,Extended
374288992754910,1976-08-06,Intuitive
3587412013815743,1962-09-01,Down-sized
3568492376830714,1974-08-25,toolset
5602252195166168,1962-10-22,User-centric
30441315349498,1969-07-11,Enhanced
3574242634095721,1950-03-04,Graphical User Interface
5048370593578156,1996-11-09,context-sensitive
3561382009631570,1959-11-15,exuding
5010126057476491,1993-09-10,zero tolerance
30481449399506,1972-06-25,optimal
3541322820650685,1982-12-13,dedicated
3572051443464602,1998-07-12,demand-driven
4936616327691656965,1986-06-05,Open-architected
5602238235494074,1992-03-14,implementation
5010129810089924,1988-06-15,bi-directional
3554843103512528,1996-01-07,leading edge
30251710446058,1968-05-24,functionalities
3530511803184463,1968-08-14,needs-based
4911846094580264641,2000-05-27,Reduced
337941885045707,1977-02-02,open system
6762985020346786,1984-08-07,core
3581609195430532,1980-05-30,modular
4913820871925474,1984-02-23,challenge
3529629590628634,1979-04-19,orchestration
3560585318376429,1971-09-14,impactful
5018080544786808458,1987-03-27,instruction set
3556450677375494,1953-01-04,Optimized
36615843366637,1983-01-12,time-frame
337941055906449,1985-05-31,context-sensitive
5602218736843862,1993-05-23,well-modulated
6762822622530493,1991-10-02,executive
5171874959921495,1972-03-07,transitional
4911061964592980046,1995-12-25,24 hour
3541419754338426,1971-10-11,directional
3575778715707030,1993-10-28,superstructure
3589722456257932,1992-07-21,Intuitive
3587794795168676,1976-01-05,non-volatile
3580320559711860,1993-07-22,challenge
3586819887438512,1961-07-03,open architecture
3566613409027190,1958-02-22,Versatile
4936813209069217,1996-04-30,circuit
5159621322266975,1991-02-03,leading edge
5602243759620450,1982-02-26,Persevering
3546718008890149,1997-09-30,archive
30383660666433,1972-07-20,matrices
4911749511092947619,1967-11-11,superstructure
633426687465265559,1983-11-28,superstructure
201891325446796,1954-06-22,heuristic
3530127615602822,1998-05-18,Stand-alone
